,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Wechselburg,Wechselburg,LOC,0.00000000,0.00000000,de,2.00000000,4064919-2,2813524,P,51.00214000,12.77661000,EUROPE,Germany,WCE
Herausforderungen,Herausforderungen,LOC,0.00000000,0.00000000,de,2.00000000,,0,,,,,,
Bursa,Bursa,LOC,-0.33333333,0.66666667,de,2.00000000,4009173-9,750269,P,40.19559000,29.06013000,EUROPE-AFRICA,Turkey,MED
Mexiko-Stadt,Mexiko-Stadt,LOC,0.00000000,0.00000000,de,1.90000000,4039060-3,3530597,P,19.42847000,-99.12766000,CENTRAL-AMERICA,Mexico,NCA
UNHCR-Chef,UNHCR-Chef,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Marokko,Marokko,LOC,0.00000000,0.52631579,de,1.90000000,4037680-1,2542007,A,28.50000000,-10.00000000,AFRICA,Morocco,SAH
Nationalpark Donau-Auen,Nationalpark Donau-Auen,LOC,0.36842105,0.52631579,de,1.90000000,,0,,,,,,
US-Bundesstaat,US-Bundesstaat,LOC,0.00000000,0.00000000,de,1.90000000,4224069-4,5110302,P,40.65010000,-73.94958000,NORTH-AMERICA,United States,ENA
Cloud-Seeding,Cloud-Seeding,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Ettelaat,Ettelaat,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Hitze-Perioden,Hitze-Perioden,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Badewetter,Badewetter,LOC,1.05263158,0.00000000,de,1.90000000,,0,,,,,,
Vorsorge,Vorsorge,LOC,-0.36842105,0.00000000,de,1.90000000,,0,,,,,,
Argentiniens,Argentiniens,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Schmalwassertalsperre,Schmalwassertalsperre,LOC,0.00000000,0.00000000,de,1.90000000,,0,,,,,,
Trends,Trends,LOC,0.00000000,0.00000000,de,1.90000000,,11001611,S,22.95221000,113.37438000,ASIA,China,EAS
Rechnungshofs,Rechnungshofs,LOC,-0.73684211,0.00000000,de,1.90000000,,0,,,,,,
Rechnungshof,Rechnungshof,LOC,0.00000000,0.00000000,de,1.90000000,,12261389,S,48.21243000,16.38765000,EUROPE,Austria,WCE
